1: 0001
2: 0101
3: 0201
4: 0301
5: 0401
6: 0501
7: 0601
8: 0701
9: 0801
10: 0901
11: 0a01
12: 0b01
13: 0c01
14: 0d01
15: 0002
16: 0102
17: 0202
18: 0302
19: 0402
20: 0502
21: 0602
22: 0702
23: 0802
24: 0902
25: 0a02
26: 0b02
27: 0c02
28: 0d02
29: 0003
30: 0103
31: 0203
32: 0303
33: 0403
34: 0503
35: 0603
36: 0703
37: 0803
38: 0903
39: 0a03
40: 0b03
41: 0c03
42: 0d03
43: 0004
44: 0104
45: 0204
46: 0304
47: 0404
48: 0504
49: 0604
50: 0704
51: 0804
52: 0904
53: 0a04
54: 0b04
55: 0c04
56: 0d04
57: 0005
58: 0105
59: 0205
60: 0305
61: 0405
62: 0505
63: 0605
64: 0705
65: 0805
66: 0905
67: 0a05
68: 0b05
69: 0c05
70: 0d05
71: 0006
72: 0106
73: 0206
74: 0306
75: 0406
76: 0506
77: 0606
78: 0706
79: 0806
80: 0906
81: 0a06
82: 0b06
83: 0c06
84: 0d06
85: 0007
86: 0107
87: 0207
88: 0307
89: 0407
90: 0507
91: 0607
92: 0707
93: 0807
94: 0907
95: 0a07
96: 0b07
97: 0c07
98: 0d07
